直播,#genre#
山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
山东教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
河北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
金鹰卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
哈哈炫动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
广西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
江西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
优漫卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
北京卡酷,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
云南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
宁夏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
央视文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226951/index.m3u8
哒啵赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226954/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
山东教育卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
置业频道,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226241/index.m3u8
京视剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
家庭理财,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226244/index.m3u8
奕坦春秋,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
辽宁大连联通,#genre#
辽宁卫视,http://113.229.246.106:5566/rtp/232.0.0.144:9108
辽宁都市,http://113.229.246.106:5566/rtp/232.0.0.42:8856
辽宁体育,http://113.229.246.106:5566/rtp/232.0.0.66:8820
辽宁影视剧,http://113.229.246.106:5566/rtp/232.0.0.97:8534
辽宁经济,http://113.229.246.106:5566/rtp/232.0.0.155:9320
辽宁公共,http://113.229.246.106:5566/rtp/232.0.0.156:9322
辽宁移动电视,http://113.229.246.106:5566/rtp/232.0.0.167:9338
辽宁北方,http://113.229.246.106:5566/rtp/232.0.0.211:9240
辽宁生活,http://113.229.246.106:5566/rtp/232.0.0.212:9242
CCTV1,http://113.229.246.106:5566/rtp/232.0.0.27:8808
CCTV2,http://113.229.246.106:5566/rtp/232.0.0.132:9144
CCTV3,http://113.229.246.106:5566/rtp/232.0.0.198:9214
CCTV4,http://113.229.246.106:5566/rtp/232.0.0.148:9142
CCTV4欧洲,http://113.229.246.106:5566/rtp/232.0.0.210:9238
CCTV4美洲,http://113.229.246.106:5566/rtp/232.0.0.145:9110
CCTV5,http://113.229.246.106:5566/rtp/232.0.0.196:9210
CCTV5+,http://113.229.246.106:5566/rtp/232.0.0.93:8750
CCTV6,http://113.229.246.106:5566/rtp/232.0.0.194:9206
CCTV7,http://113.229.246.106:5566/rtp/232.0.0.133:9146
CCTV8,http://113.229.246.106:5566/rtp/232.0.0.28:8710
CCTV9,http://113.229.246.106:5566/rtp/232.0.0.134:9148
CCTV10,http://113.229.246.106:5566/rtp/232.0.0.135:9150
CCTV11,http://113.229.246.106:5566/rtp/232.0.0.168:9340
CCTV12,http://113.229.246.106:5566/rtp/232.0.0.136:9152
CCTV13,http://113.229.246.106:5566/rtp/232.0.0.146:9112
CCTV14,http://113.229.246.106:5566/rtp/232.0.0.137:9154
CCTV15,http://113.229.246.106:5566/rtp/232.0.0.169:9342
CCTV16,http://113.229.246.106:5566/rtp/232.0.0.36:8694
CCTV17,http://113.229.246.106:5566/rtp/232.0.0.63:8686
第一剧场,http://113.229.246.106:5566/rtp/232.0.0.147:9132
怀旧剧场,http://113.229.246.106:5566/rtp/232.0.0.204:9226
风云剧场,http://113.229.246.106:5566/rtp/232.0.0.52:8610
风云足球,http://113.229.246.106:5566/rtp/232.0.0.90:9286
央视精品,http://113.229.246.106:5566/rtp/232.0.0.107:8698
风云音乐,http://113.229.246.106:5566/rtp/232.0.0.108:9288
女性时尚,http://113.229.246.106:5566/rtp/232.0.0.120:8858
兵器科技,http://113.229.246.106:5566/rtp/232.0.0.121:8882
央视台球,http://113.229.246.106:5566/rtp/232.0.0.122:9290
世界地理,http://113.229.246.106:5566/rtp/232.0.0.123:9292
电视指南,http://113.229.246.106:5566/rtp/232.0.0.124:9294
CGTN,http://113.229.246.106:5566/rtp/232.0.0.201:9220
CGTN记录频道,http://113.229.246.106:5566/rtp/232.0.0.202:9222
CGTN-法语频道,http://113.229.246.106:5566/rtp/232.0.0.176:9170
CGTN-西班牙语频道,http://113.229.246.106:5566/rtp/232.0.0.191:9200
CGTN-俄语频道,http://113.229.246.106:5566/rtp/232.0.0.43:8660
CGTN-阿拉伯语频道,http://113.229.246.106:5566/rtp/232.0.0.8:8664
CETV1,http://113.229.246.106:5566/rtp/232.0.0.192:9202
CETV2,http://113.229.246.106:5566/rtp/232.0.0.98:8612
CETV4,http://113.229.246.106:5566/rtp/232.0.0.175:9354
辽宁青少,http://113.229.246.106:5566/rtp/232.0.0.230:9356
安多卫视,http://113.229.246.106:5566/rtp/232.0.0.236:9368
安徽卫视,http://113.229.246.106:5566/rtp/232.0.0.138:9156
兵团卫视,http://113.229.246.106:5566/rtp/232.0.0.67:8640
北京卫视,http://113.229.246.106:5566/rtp/232.0.0.117:8860
东方卫视,http://113.229.246.106:5566/rtp/232.0.0.128:9100
东南卫视,http://113.229.246.106:5566/rtp/232.0.0.174:9352
甘肃卫视,http://113.229.246.106:5566/rtp/232.0.0.50:8642
广东卫视,http://113.229.246.106:5566/rtp/232.0.0.160:9120
广西卫视,http://113.229.246.106:5566/rtp/232.0.0.127:9300
贵州卫视,http://113.229.246.106:5566/rtp/232.0.0.171:9346
海南卫视,http://113.229.246.106:5566/rtp/232.0.0.195:9208
河北卫视,http://113.229.246.106:5566/rtp/232.0.0.64:8608
河南卫视,http://113.229.246.106:5566/rtp/232.0.0.48:8666
黑龙江卫视,http://113.229.246.106:5566/rtp/232.0.0.95:8866
湖北卫视,http://113.229.246.106:5566/rtp/232.0.0.130:9104
湖南卫视,http://113.229.246.106:5566/rtp/232.0.0.115:8864
吉林卫视,http://113.229.246.106:5566/rtp/232.0.0.170:9344
江苏卫视,http://113.229.246.106:5566/rtp/232.0.0.116:8862
江西卫视,http://113.229.246.106:5566/rtp/232.0.0.112:8606
康巴卫视,http://113.229.246.106:5566/rtp/232.0.0.237:9370
内蒙古卫视,http://113.229.246.106:5566/rtp/232.0.0.111:8718
宁夏卫视,http://113.229.246.106:5566/rtp/232.0.0.34:8644
青海卫视,http://113.229.246.106:5566/rtp/232.0.0.101:8588
厦门卫视,http://113.229.246.106:5566/rtp/232.0.0.183:9184
山东卫视,http://113.229.246.106:5566/rtp/232.0.0.161:9122
山东教育卫视,http://113.229.246.106:5566/rtp/232.0.0.200:9218
山西卫视,http://113.229.246.106:5566/rtp/232.0.0.86:8558
陕西卫视,http://113.229.246.106:5566/rtp/232.0.0.35:8590
深圳卫视,http://113.229.246.106:5566/rtp/232.0.0.110:8868
四川卫视,http://113.229.246.106:5566/rtp/232.0.0.208:9234
天津卫视,http://113.229.246.106:5566/rtp/232.0.0.131:9106
西藏卫视,http://113.229.246.106:5566/rtp/232.0.0.114:8844
西藏卫视(藏语),http://113.229.246.106:5566/rtp/232.0.0.235:9366
新疆卫视,http://113.229.246.106:5566/rtp/232.0.0.18:8722
延边卫视,http://113.229.246.106:5566/rtp/232.0.0.184:9186
云南卫视,http://113.229.246.106:5566/rtp/232.0.0.24:8604
浙江卫视,http://113.229.246.106:5566/rtp/232.0.0.129:9102
重庆卫视,http://113.229.246.106:5566/rtp/232.0.0.209:9236
欢笑剧场4K,http://113.229.246.106:5566/rtp/232.0.0.150:9160
都市剧场,http://113.229.246.106:5566/rtp/232.0.0.143:9310
生活时尚,http://113.229.246.106:5566/rtp/232.0.0.125:9296
游戏风云,http://113.229.246.106:5566/rtp/232.0.0.139:9302
动漫秀场,http://113.229.246.106:5566/rtp/232.0.0.140:9304
金色学堂,http://113.229.246.106:5566/rtp/232.0.0.141:9306
法治天地,http://113.229.246.106:5566/rtp/232.0.0.142:9308
上海纪实,http://113.229.246.106:5566/rtp/232.0.0.162:9124
北京纪实,http://113.229.246.106:5566/rtp/232.0.0.185:9188
金鹰纪实,http://113.229.246.106:5566/rtp/232.0.0.186:9190
乐游,http://113.229.246.106:5566/rtp/232.0.0.126:9298
新动漫,http://113.229.246.106:5566/rtp/232.0.0.153:9316
金鹰卡通,http://113.229.246.106:5566/rtp/232.0.0.181:9180
卡酷动画,http://113.229.246.106:5566/rtp/232.0.0.199:9216
嘉佳卡通,http://113.229.246.106:5566/rtp/232.0.0.180:9178
优漫卡通,http://113.229.246.106:5566/rtp/232.0.0.182:9182
哈哈炫动,http://113.229.246.106:5566/rtp/232.0.0.103:8636
家庭理财,http://113.229.246.106:5566/rtp/232.0.0.197:9212
证券服务,http://113.229.246.106:5566/rtp/232.0.0.38:8600
谍战剧场,http://113.229.246.106:5566/rtp/232.0.0.53:8754
精选剧场,http://113.229.246.106:5566/rtp/232.0.0.102:8888
健康之路,http://113.229.246.106:5566/rtp/232.0.0.154:9318
IPTV3,http://113.229.246.106:5566/rtp/232.0.0.118:8870
IPTV5,http://113.229.246.106:5566/rtp/232.0.0.119:8872
IPTV足球,http://113.229.246.106:5566/rtp/232.0.0.91:8746
地理,http://113.229.246.106:5566/rtp/232.0.0.105:8826
葫芦岛综合,http://113.229.246.106:5566/rtp/232.0.0.238:9260
葫芦岛公共,http://113.229.246.106:5566/rtp/232.0.0.239:9262
党员教育,http://113.229.246.106:5566/rtp/232.0.0.224:9270
宜家购物,http://113.229.246.106:5566/rtp/232.0.0.21:8838
家有购物,http://113.229.246.106:5566/rtp/232.0.0.109:8702
环球精选,http://113.229.246.106:5566/rtp/232.0.0.193:9204
央广购物,http://113.229.246.106:5566/rtp/232.0.0.229:9284
中视购物,http://113.229.246.106:5566/rtp/232.0.0.231:9358
爱上4K,http://113.229.246.106:5566/rtp/232.0.0.104:8632
原NBA1,http://113.229.246.106:5566/rtp/232.0.0.213:9244
原NBA2,http://113.229.246.106:5566/rtp/232.0.0.214:9246
原NBA3,http://113.229.246.106:5566/rtp/232.0.0.215:9248
原NBA4,http://113.229.246.106:5566/rtp/232.0.0.216:9250
原NBA5,http://113.229.246.106:5566/rtp/232.0.0.217:9252
原NBA6,http://113.229.246.106:5566/rtp/232.0.0.218:9254
原NBA7,http://113.229.246.106:5566/rtp/232.0.0.219:9256
原NBA8,http://113.229.246.106:5566/rtp/232.0.0.220:9258
原NBA9,http://113.229.246.106:5566/rtp/232.0.0.221:9264
原NBA10,http://113.229.246.106:5566/rtp/232.0.0.222:9266
大连新闻综合频道,http://live.dltv.cn/tcb3IB5/n27t8b0.m3u8
